threshold,side,bucket,mapping_type,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,head,low_frequency,1-1,5,4.91531349105148,137.8,11.0,0.49475159857954304,0.5306122643607003,0.5300000071525574,0.6000000238418579,0.4,0.4
5,head,low_frequency,1-N,14,4.884094149369541,135.85714285714286,13.857142857142858,0.8240474030679587,0.9083269834518433,0.12510793044098786,0.0,0.09410321821036106,0.0
5,head,low_frequency,M-1,29,5.035336952557505,159.48275862068965,15.241379310344827,0.3517168758005784,0.27472528176648275,0.4854476494645631,0.5,0.36238271256387194,0.3333333333333333
5,head,low_frequency,M-N,19,5.100888133568726,171.05263157894737,19.94736842105263,0.7133400515282066,0.7815126180648804,0.27999313803095566,0.1875,0.20020968319780408,0.11764705882352941
5,head,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7637719006410667,0.9776785714285714,0.2503324467688799,0.03191489353775978,0.12533244680851063,0.031914893617021274
5,head,mid_frequency,1-N,8,6.0826293001267935,475.0,53.375,0.7863904887012073,0.86050061242921,0.23040618607774377,0.17989418655633926,0.12122972926544354,0.08805744520030234
5,head,mid_frequency,M-1,25,6.019238643839745,433.52,35.76,0.261083743540304,0.16849817229168756,0.6322916001081467,0.7071428596973419,0.43280789460137287,0.4222222222222222
5,head,mid_frequency,M-N,30,6.210590856089493,524.7333333333333,38.8,0.6652290387123467,0.6819047672407967,0.32024741352846225,0.2705167233943939,0.20211008103332823,0.150093808630394
5,head,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.4775480883462089,0.3874659218958446,0.3462269864976406,0.3643410950899124,0.2131715425456609,0.24644945697577275
5,head,high_frequency,M-1,18,7.324219908718421,1792.2777777777778,175.05555555555554,0.14530417058129041,0.1250194731567587,0.7260405487484403,0.7543103396892548,0.41044828001831246,0.40454545454545454
5,head,high_frequency,M-N,45,7.965714132731433,4029.8444444444444,286.73333333333335,0.5008398007631064,0.548996457031795,0.37578317577149284,0.3255814015865326,0.20347589717454423,0.18518518518518517
5,tail,low_frequency,1-1,5,4.91531349105148,137.8,11.0,0.5136549174785614,0.3877551129886082,0.3500000059604645,0.4000000059604645,0.28500000000000003,0.4
5,tail,low_frequency,1-N,14,4.884094149369541,135.85714285714286,13.857142857142858,0.3162783179052022,0.24675325410706656,0.39314856093663436,0.38461539149284363,0.326658361881034,0.3333333333333333
5,tail,low_frequency,M-1,29,5.035336952557505,159.48275862068965,15.241379310344827,0.8146554416623609,0.875,0.12413017593067267,0.0,0.10462528794171796,0.0
5,tail,low_frequency,M-N,19,5.100888133568726,171.05263157894737,19.94736842105263,0.7671307851945547,0.8839285714285714,0.16600330370037178,0.06896551698446274,0.1185060317570586,0.06666666666666667
5,tail,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7230738986815726,0.9434523795332228,0.2613636367022991,0.022727273404598236,0.13636363636363635,0.022727272727272728
5,tail,mid_frequency,1-N,8,6.0826293001267935,475.0,53.375,0.09668596852238157,0.07448979640113457,0.757291667163372,0.875,0.4875,0.3666666666666667
5,tail,mid_frequency,M-1,25,6.019238643839745,433.52,35.76,0.8282235573019301,0.8809523837906974,0.13421544417738915,0.05999999865889549,0.08784386948747962,0.04
5,tail,mid_frequency,M-N,30,6.210590856089493,524.7333333333333,38.8,0.638037616653102,0.7200715328965869,0.3053152334565918,0.1993464082479477,0.19301454416478275,0.14285714285714285
5,tail,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.15040166529693774,0.12875343539885112,0.48641588166356087,0.5031348019838333,0.2924503657262278,0.25156739811912227
5,tail,high_frequency,M-1,18,7.324219908718421,1792.2777777777778,175.05555555555554,0.7906696833078823,0.936962195805141,0.12637295061722398,0.049390243366360664,0.07618794185466148,0.023653455284552843
5,tail,high_frequency,M-N,45,7.965714132731433,4029.8444444444444,286.73333333333335,0.5647482145163747,0.5399515799113682,0.28025340160561935,0.25,0.16422527677257953,0.15384615384615385
10,head,low_frequency,1-1,3,4.922170615837942,140.33333333333334,13.0,0.5366041291327703,0.699999988079071,0.4166666666666667,0.25,0.3333333333333333,0.25
10,head,low_frequency,1-N,12,5.051263268576311,164.33333333333334,18.916666666666668,0.8234140028556188,0.9333814552852085,0.14199099720766148,0.05048076994717121,0.09611865757699091,0.05048076923076923
10,head,low_frequency,M-1,27,5.116980834938561,175.0,18.14814814814815,0.39149587038687605,0.2789115756750107,0.454807104749812,0.47826087474823,0.33661781723375916,0.3333333333333333
10,head,low_frequency,M-N,19,5.1989084925151055,188.47368421052633,22.31578947368421,0.7276854387351445,0.7815126180648804,0.2786997156707864,0.1875,0.1867794890872505,0.11764705882352941
10,head,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7637719006410667,0.9776785714285714,0.2503324467688799,0.03191489353775978,0.12533244680851063,0.031914893617021274
10,head,mid_frequency,1-N,6,6.2559720604460205,546.8333333333334,61.0,0.7947080135345459,0.8655040647302354,0.19609713616470495,0.164285721257329,0.09373840445269017,0.0653061224489796
10,head,mid_frequency,M-1,22,6.236361460647545,539.9545454545455,47.31818181818182,0.24542982967014046,0.16728480107017926,0.6576028628782793,0.7321428656578064,0.42146133960840243,0.41428571428571426
10,head,mid_frequency,M-N,28,6.294613008038368,567.5357142857143,42.642857142857146,0.6824079953010518,0.7129464277199337,0.29764294285061105,0.21955128014087677,0.1907690629718086,0.1318840579710145
10,head,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.4775480883462089,0.3874659218958446,0.3462269864976406,0.3643410950899124,0.2131715425456609,0.24644945697577275
10,head,high_frequency,M-1,14,7.505894669884695,2075.0714285714284,206.28571428571428,0.13569458164939924,0.09930503075676306,0.7240780932562692,0.7249999940395355,0.41421151523505456,0.38311688311688313
10,head,high_frequency,M-N,43,8.024926494470321,4179.813953488372,297.5348837209302,0.4838868901226359,0.4994629536356245,0.3899420469136136,0.3333333432674408,0.21115508086213428,0.18604651162790697
10,tail,low_frequency,1-1,3,4.922170615837942,140.33333333333334,13.0,0.6157287103789193,0.699999988079071,0.21666666865348816,0.25,0.17500000000000002,0.125
10,tail,low_frequency,1-N,12,5.051263268576311,164.33333333333334,18.916666666666668,0.28520424335840205,0.1961039017353739,0.4592442723611991,0.39230769872665405,0.35943544759334234,0.3333333333333333
10,tail,low_frequency,M-1,27,5.116980834938561,175.0,18.14814814814815,0.8582454376592837,0.985714282308306,0.08008426303664844,0.0,0.06376419815962299,0.0
10,tail,low_frequency,M-N,19,5.1989084925151055,188.47368421052633,22.31578947368421,0.725881829969865,0.8231292622429984,0.2090275311156323,0.0833333358168602,0.1408535672624888,0.08333333333333333
10,tail,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7230738986815726,0.9434523795332228,0.2613636367022991,0.022727273404598236,0.13636363636363635,0.022727272727272728
10,tail,mid_frequency,1-N,6,6.2559720604460205,546.8333333333334,61.0,0.10082561103627086,0.07448979640113457,0.6763888895511627,0.675000011920929,0.42777777777777776,0.3666666666666667
10,tail,mid_frequency,M-1,22,6.236361460647545,539.9545454545455,47.31818181818182,0.7888031744144179,0.8558500409126282,0.14346657968549567,0.07166666723787785,0.0951908020098395,0.04777777777777778
10,tail,mid_frequency,M-N,28,6.294613008038368,567.5357142857143,42.642857142857146,0.7004059493845823,0.7589104686464583,0.25824591324531604,0.1547619104385376,0.15195435854389988,0.12418300653594772
10,tail,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.15040166529693774,0.12875343539885112,0.48641588166356087,0.5031348019838333,0.2924503657262278,0.25156739811912227
10,tail,high_frequency,M-1,14,7.505894669884695,2075.0714285714284,206.28571428571428,0.8181134191702822,0.936962195805141,0.10421096267444747,0.049390243366360664,0.05655245909334352,0.023653455284552843
10,tail,high_frequency,M-N,43,8.024926494470321,4179.813953488372,297.5348837209302,0.5445039454241131,0.5209580915314811,0.2932884435407644,0.2666666805744171,0.17186366173874604,0.16
