relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,head,M-N,298,5.700443573390686,43,43,20,0.3156146194253649,0.6499999761581421,0.45
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,head,1-N,1272,7.149131598557407,91,91,43,0.36891680530139376,0.39534884691238403,0.27906976744186046
2,/media_common/netflix_genre/titles,head,M-N,2671,7.890582534656536,124,124,101,0.764976944242205,0.09900990128517151,0.04950495049504951
3,/award/award_winner/awards_won./award/award_honor/award_winner,head,M-N,8423,9.03884005381381,41,41,25,0.5574912939752851,0.1599999964237213,0.12
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,head,M-N,2262,7.724446645633537,12,12,0,0.0,,
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,head,M-N,2265,7.725771441587952,10,10,0,0.0,,
6,/film/actor/film./film/performance/film,head,M-N,9494,9.158520623246385,836,836,134,0.11500341870955058,0.5149253606796265,0.2835820895522388
7,/award/award_category/nominees./award/award_nomination/nominated_for,head,M-N,9465,9.155461710466193,858,858,679,0.7276057260377067,0.18409425020217896,0.09425625920471281
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,head,M-N,15989,9.679718805828,214,214,180,0.7803738287517002,0.15000000596046448,0.08888888888888889
9,/music/performance_role/regular_performances./music/group_membership/role,head,M-N,2655,7.884576510596324,40,40,18,0.29999999914850506,0.6111111044883728,0.3333333333333333
10,/award/award_category/winners./award/award_honor/ceremony,head,M-N,2834,7.949797216161852,323,323,306,0.9049093297549656,0.12745098769664764,0.05228758169934641
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,head,M-1,1429,7.265429723253953,158,158,28,0.04972875118255615,1.0,0.5357142857142857
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,head,M-N,2992,8.004031507852698,24,24,13,0.4702381023338863,0.23076923191547394,0.15384615384615385
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,head,M-N,12893,9.464517365870565,1447,1447,850,0.4013229353087289,0.6141176223754883,0.26941176470588235
14,/film/film/language,head,M-N,2570,7.852050207265889,314,314,163,0.3785259297915867,0.546012282371521,0.25766871165644173
15,/location/location/contains,head,M-N,5201,8.556798446008596,330,330,264,0.7043289967945644,0.2651515007019043,0.10606060606060606
16,/organization/organization/headquarters./location/mailing_address/country,head,M-1,182,5.209486152841421,7,7,3,0.10204082088811058,1.0,0.6666666666666666
17,/people/person/profession,head,M-N,10945,9.300729371703863,1311,1311,357,0.1933093603168215,0.5070028305053711,0.24369747899159663
18,/location/statistical_region/religions./location/religion_percentage/religion,head,M-N,596,6.391917113392602,60,60,47,0.6952380963734218,0.25531914830207825,0.2127659574468085
19,/award/award_nominee/award_nominations./award/award_nomination/award,head,M-N,12157,9.405742668308667,1067,1067,303,0.22171642737729208,0.4653465449810028,0.20462046204620463
20,/music/genre/artists,head,M-N,5880,8.679482094459956,664,664,515,0.712349397795541,0.1553398072719574,0.05825242718446602
21,/influence/influence_node/influenced_by,head,M-N,1908,7.554334823725748,235,235,114,0.3446808542524065,0.5350877046585083,0.2719298245614035
22,/education/educational_institution/students_graduates./education/education/student,head,1-N,2640,7.878912912297132,311,311,133,0.3151125354426248,0.5037593841552734,0.2706766917293233
23,/organization/organization_member/member_of./organization/organization_membership/organization,head,M-N,797,6.682108597449809,96,96,76,0.7306547590664455,0.17105263471603394,0.09210526315789473
24,/people/person/place_of_birth,head,M-1,2465,7.81035268372429,170,170,10,0.040336135774850845,0.699999988079071,0.5
25,/common/topic/webpage./common/webpage/category,head,M-1,3612,8.19229373114764,402,402,15,0.013859274863664593,1.0,0.6
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,head,M-N,5305,8.576593534697684,606,606,153,0.14757190218993596,0.7320261597633362,0.37254901960784315
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,head,M-N,2727,7.911324018963352,317,317,238,0.6511942233358111,0.2647058963775635,0.13025210084033614
28,/film/film/country,head,M-1,2407,7.786551806428712,131,131,28,0.12758996656962804,0.6785714030265808,0.35714285714285715
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,head,M-N,2130,7.664346632098617,258,258,230,0.831118472984859,0.19130434095859528,0.09130434782608696
30,/award/award_winning_work/awards_won./award/award_honor/award,head,M-N,3310,8.105005537547246,118,118,42,0.27845036131995066,0.4523809552192688,0.23809523809523808
31,/film/film/genre,head,M-N,7268,8.891374009484636,722,722,162,0.15967550660882676,0.5,0.25308641975308643
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,head,M-N,2337,7.757051142032013,160,160,137,0.7651785612106323,0.23357664048671722,0.11678832116788321
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,head,M-1,373,5.924255797414532,46,46,15,0.14596273164663995,0.9333333373069763,0.6666666666666666
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,head,M-1,1210,7.099201743553092,151,151,62,0.21854304841586522,0.774193525314331,0.3548387096774194
35,/government/legislative_session/members./government/government_position_held/district_represented,head,M-N,1070,6.976348070447749,117,117,115,0.9743589758872986,0.03478260710835457,0.02608695652173913
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,head,M-N,622,6.434546518787453,1,1,0,0.0,,
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,head,M-N,760,6.634633357861686,91,91,89,0.9638932517596653,0.033707864582538605,0.02247191011235955
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,head,M-N,6277,8.744806737401898,132,132,53,0.3192640670708248,0.4150943458080292,0.2830188679245283
39,/people/deceased_person/place_of_death,head,M-1,695,6.54534966033442,78,78,9,0.062271064945629666,0.7777777910232544,0.4444444444444444
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,head,M-N,676,6.517671272912275,16,16,13,0.7678571428571429,0.23076923191547394,0.15384615384615385
41,/music/artist/track_contributions./music/track_contribution/role,head,M-N,1772,7.480428306074208,152,152,39,0.1550751860652651,0.6666666865348816,0.28205128205128205
42,/music/instrument/instrumentalists,head,M-N,1938,7.569927655242652,153,153,128,0.7497665882110596,0.2109375,0.109375
43,/people/person/gender,head,M-1,3717,8.220941168281389,436,436,67,0.07830930660877909,0.7910447716712952,0.3283582089552239
44,/business/job_title/people_with_this_title./business/employment_tenure/company,head,M-N,734,6.5998704992128365,85,85,78,0.8739495873451233,0.12820513546466827,0.0641025641025641
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,head,M-N,1511,7.321188556739479,32,32,9,0.12946428571428573,0.8888888955116272,0.4444444444444444
46,/business/business_operation/industry,head,M-1,330,5.802118375377063,41,41,24,0.35888501576014925,0.625,0.375
47,/award/award_category/winners./award/award_honor/award_winner,head,M-N,5673,8.643649615368796,217,217,156,0.6431863222803388,0.2371794879436493,0.12179487179487179
48,/people/person/nationality,head,M-1,4197,8.342363500380579,494,494,102,0.12030075490474701,0.6666666865348816,0.3137254901960784
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,head,M-N,183,5.214935757608986,3,3,3,1.0,0.0,0.0
50,/people/cause_of_death/people,head,1-N,737,6.6039438246004725,94,94,64,0.5136778099196297,0.484375,0.25
51,/tv/tv_program/languages,head,M-1,254,5.541263545158426,24,24,23,0.9226190532956805,0.08695652335882187,0.043478260869565216
52,/music/genre/parent_genre,head,M-N,678,6.520621127558696,97,97,49,0.4241531619003841,0.36734694242477417,0.14285714285714285
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,head,1-1,153,5.0369526024136295,0,0,0,,,
54,/location/country/capital,head,1-1,142,4.962844630259907,11,11,4,0.1558441604886736,1.0,0.75
55,/film/special_film_performance_type/film_performance_type./film/performance/film,head,1-N,93,4.543294782270004,11,11,11,1.0,0.0,0.0
56,/location/hud_county_place/place,head,1-1,459,6.131226489483141,48,48,47,0.9553571428571429,0.06382978707551956,0.06382978723404255
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,head,M-N,497,6.210600077024653,2,2,2,0.14285714285714285,1.0,1.0
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,head,M-N,2051,7.62657020629066,55,55,44,0.7402597495487758,0.22727273404598236,0.11363636363636363
59,/film/film_subject/films,head,1-N,603,6.403574197934815,77,77,49,0.5398886970111302,0.2857142984867096,0.10204081632653061
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,head,M-1,475,6.16541785423142,60,60,13,0.0904761930661542,0.7692307829856873,0.46153846153846156
61,/education/educational_institution/colors,head,M-N,856,6.75343791859778,90,90,7,0.02222222289336579,1.0,0.5714285714285714
62,/base/aareas/schema/administrative_area/administrative_parent,head,M-1,579,6.363028103540465,25,25,21,0.8399999737739563,0.0,0.0
63,/organization/role/leaders./organization/leadership/organization,head,1-N,756,6.6293632534374485,70,70,70,0.9836734448160444,0.04285714402794838,0.02857142857142857
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,head,M-N,814,6.703188113240863,13,13,13,1.0,0.0,0.0
65,/olympics/olympic_games/sports,head,M-N,664,6.499787040655854,13,13,13,1.0,0.0,0.0
66,/people/person/places_lived./people/place_lived/location,head,M-N,3738,8.226573474977114,305,305,28,0.03887587838939258,0.9285714030265808,0.4642857142857143
67,/award/award_category/disciplines_or_subjects,head,M-N,204,5.3230099791384085,15,15,12,0.7142857313156128,0.25,0.25
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,head,M-N,688,6.535241271013659,86,86,44,0.3388704316956656,0.7045454382896423,0.38636363636363635
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,head,M-N,1153,7.050989447068045,63,63,43,0.5736961705344064,0.3255814015865326,0.18604651162790697
70,/language/human_language/countries_spoken_in,head,M-N,335,5.817111159963204,25,25,20,0.6685714381081718,0.4000000059604645,0.25
71,/people/ethnicity/people,head,1-N,2063,7.6324011266014535,251,251,223,0.8201479741505214,0.15246637165546417,0.08071748878923767
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,head,M-N,760,6.634633357861686,31,31,16,0.31336404596056255,0.6875,0.375
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,head,M-N,256,5.54907608489522,38,38,32,0.785714294229235,0.1875,0.09375
74,/film/film/other_crew./film/film_crew_gig/crewmember,head,M-1,384,5.953243334287785,26,26,5,0.09890110258545194,0.6000000238418579,0.4
75,/music/performance_role/track_performances./music/track_contribution/role,head,M-N,3795,8.241703159729818,53,53,29,0.3935309946537018,0.6206896305084229,0.27586206896551724
76,/music/record_label/artist,head,M-N,2226,7.708410667257367,266,266,169,0.4994629536356245,0.4082840383052826,0.20710059171597633
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,head,M-N,1404,7.247792581767846,11,11,1,0.02597402674811227,1.0,1.0
78,/base/locations/continents/countries_within,head,1-N,125,4.836281906951478,5,5,5,1.0,0.0,0.0
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,head,M-N,269,5.598421958998375,42,42,41,0.8979591812406268,0.19512194395065308,0.14634146341463414
80,/sports/sports_team/sport,head,M-1,423,6.049733455231958,53,53,44,0.7681940708841596,0.1818181872367859,0.1590909090909091
81,/education/educational_institution_campus/educational_institution,head,1-1,526,6.267200548541362,13,13,13,1.0,0.0,0.0
82,/people/person/religion,head,M-1,1085,6.990256500493881,127,127,12,0.04499437553542001,0.75,0.5
83,/organization/organization/headquarters./location/mailing_address/citytown,head,M-1,852,6.748759547491679,55,55,21,0.22857142984867096,0.761904776096344,0.42857142857142855
84,/film/film/produced_by,head,M-1,1285,7.1592919047975645,60,60,23,0.27380953090531485,0.43478259444236755,0.2608695652173913
85,/people/person/spouse_s./people/marriage/type_of_union,head,M-1,2909,7.975908360165538,346,346,14,0.019818331514086043,0.7857142686843872,0.5714285714285714
86,/film/film/production_companies,head,M-1,1568,7.358193752733032,84,84,38,0.33163265671048847,0.44736841320991516,0.18421052631578946
87,/location/country/second_level_divisions,head,1-N,463,6.139884552226255,46,46,45,0.97826087474823,0.0,0.0
88,/base/culturalevent/event/entity_involved,head,M-N,276,5.6240175061873385,20,20,11,0.5214285765375409,0.3636363744735718,0.18181818181818182
89,/education/educational_degree/people_with_this_degree./education/education/institution,head,M-N,2257,7.722234744709607,287,287,283,0.9711299112864903,0.03180212154984474,0.024734982332155476
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,head,M-1,285,5.655991810819852,38,38,18,0.3496240632874625,0.6111111044883728,0.5
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,head,M-1,121,4.804021044733257,11,11,6,0.5454545617103577,0.0,0.0
92,/music/performance_role/regular_performances./music/group_membership/group,head,M-N,1327,7.191429330036379,167,167,149,0.8374679173742022,0.1342281848192215,0.0738255033557047
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,head,M-N,215,5.375278407684165,30,30,30,1.0,0.0,0.0
94,/sports/sports_team_location/teams,head,1-1,331,5.805134968916488,53,53,16,0.0997304597071239,0.9375,0.4375
95,/sports/sports_team/colors,head,M-N,689,6.536691597591305,77,77,7,0.03153988812118769,1.0,0.5714285714285714
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,head,M-N,437,6.082218910376446,43,43,43,1.0,0.0,0.0
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,head,M-N,717,6.576469569048224,16,16,15,0.9017857142857143,0.13333334028720856,0.13333333333333333
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,head,M-N,233,5.455321115357702,27,27,27,0.9682539871760777,0.03703703731298447,0.037037037037037035
99,/user/alexander/philosophy/philosopher/interests,head,M-N,100,4.61512051684126,9,9,3,0.25396825798920225,0.3333333432674408,0.3333333333333333
100,/people/person/languages,head,M-1,783,6.664409020350408,98,98,18,0.1224489797438894,0.6111111044883728,0.2777777777777778
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,head,M-N,2622,7.872073979866873,321,321,107,0.21495327353477478,0.6261682510375977,0.29906542056074764
102,/film/director/film,head,1-N,859,6.756932389247553,19,19,9,0.4060150384902954,0.3333333432674408,0.2222222222222222
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,head,M-N,909,6.813444599510896,121,121,81,0.548996457031795,0.3333333432674408,0.18518518518518517
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,head,M-N,381,5.945420608606575,8,8,7,0.7321428571428571,0.2857142984867096,0.2857142857142857
105,/film/film/costume_design_by,head,M-1,192,5.262690188904886,13,13,3,0.1098901139838355,1.0,0.6666666666666666
106,/film/film/featured_film_locations,head,M-1,977,6.885509670034818,100,100,20,0.07142857302512441,0.949999988079071,0.6
107,/tv/tv_program/genre,head,M-N,1006,6.914730892718563,94,94,63,0.5607902663094657,0.3492063581943512,0.19047619047619047
108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,head,M-1,456,6.124683390894205,3,3,0,0.0,,
109,/film/film/written_by,head,M-1,787,6.669498089857879,26,26,5,0.15384615638426372,0.800000011920929,0.4
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,head,M-1,225,5.420534999272286,22,22,7,0.17532468054975783,0.7142857313156128,0.42857142857142855
111,/location/hud_county_place/county,head,M-1,305,5.723585101952381,7,7,2,0.2857142984867096,0.0,0.0
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,head,M-N,494,6.20455776256869,63,63,62,0.965986396585192,0.032258063554763794,0.016129032258064516
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,head,M-1,142,4.962844630259907,20,20,8,0.3357142891202654,0.25,0.125
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,head,M-N,100,4.61512051684126,3,3,3,1.0,0.0,0.0
115,/film/film/film_format,head,M-1,345,5.846438775057724,39,39,8,0.11721612087317876,1.0,0.625
116,/film/film/music,head,M-1,1039,6.946975992135418,92,92,22,0.14440993538924626,0.6363636255264282,0.4090909090909091
117,/sports/sports_team/roster./american_football/football_roster_position/position,head,M-N,607,6.410174881966167,3,3,1,0.3333333432674408,0.0,0.0
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,head,M-1,411,6.021023349349527,50,50,10,0.09999999936137881,0.699999988079071,0.4
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,head,M-N,250,5.5254529391317835,1,1,1,1.0,0.0,0.0
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,head,M-1,788,6.670766320845874,84,84,29,0.2108843613948141,0.7586206793785095,0.4827586206896552
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,head,M-N,246,5.5093883366279774,29,29,22,0.5763546781880515,0.5454545617103577,0.36363636363636365
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,head,M-N,349,5.857933154483459,31,31,18,0.4838709533214569,0.3333333432674408,0.2777777777777778
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,head,M-N,449,6.1092475827643655,1,1,0,0.0,,
124,/education/educational_institution/school_type,head,M-1,728,6.591673732008658,80,80,23,0.16607142984867096,0.8695651888847351,0.4782608695652174
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,head,1-N,128,4.859812404361672,17,17,16,0.9075630307197571,0.0625,0.0625
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,head,1-N,154,5.043425116919247,27,27,26,0.9576719743864877,0.03846153989434242,0.038461538461538464
127,/base/biblioness/bibs_location/state,head,M-1,300,5.707110264748875,7,7,5,0.3469387867621013,0.800000011920929,0.4
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,head,M-1,360,5.8888779583328805,1,1,0,0.0,,
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,head,M-1,215,5.375278407684165,1,1,0,0.0,,
130,/sports/sports_position/players./sports/sports_team_roster/team,head,M-N,3500,8.160803920954665,22,22,22,1.0,0.0,0.0
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,head,M-N,424,6.052089168924417,34,34,24,0.6512605037008014,0.2083333283662796,0.125
132,/sports/sports_league/teams./sports/sports_league_participation/team,head,1-N,161,5.087596335232384,16,16,16,1.0,0.0,0.0
133,/base/biblioness/bibs_location/country,head,M-1,610,6.415096959171596,14,14,2,0.06122449253286634,1.0,1.0
134,/music/group_member/membership./music/group_membership/role,head,M-N,750,6.621405651764134,29,29,8,0.18719212072236197,0.625,0.625
135,/location/administrative_division/country,head,M-1,386,5.958424693029782,3,3,1,0.3333333432674408,0.0,0.0
136,/film/film/executive_produced_by,head,M-1,662,6.4967749901858625,73,73,25,0.2583170235157013,0.47999998927116394,0.28
137,/food/food/nutrients./food/nutrition_fact/nutrient,head,M-N,966,6.874198495453294,105,105,105,0.9986394558634076,0.009523809887468815,0.009523809523809525
138,/music/group_member/membership./music/group_membership/group,head,M-1,218,5.389071729816501,22,22,16,0.5974025896617344,0.375,0.3125
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,head,M-1,190,5.25227342804663,3,3,1,0.3333333432674408,0.0,0.0
140,/education/field_of_study/students_majoring./education/education/student,head,1-N,259,5.560681631015528,34,34,27,0.5546218582562038,0.5925925970077515,0.3333333333333333
141,/award/award_winning_work/awards_won./award/award_honor/honored_for,head,M-N,475,6.16541785423142,10,10,9,0.8999999761581421,0.0,0.0
142,/sports/sports_team/roster./basketball/basketball_roster_position/position,head,M-N,178,5.187385805840755,2,2,0,0.0,,
143,/organization/organization/headquarters./location/mailing_address/state_province_region,head,M-1,721,6.582025138892826,39,39,12,0.16849817229168756,0.75,0.5
144,/base/aareas/schema/administrative_area/capital,head,1-1,137,4.927253685157205,0,0,0,,,
145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,head,M-N,416,6.0330862217988015,4,4,1,0.25,0.0,0.0
146,/education/educational_institution/campuses,head,1-1,533,6.280395838960195,13,13,13,1.0,0.0,0.0
147,/film/film/distributors./film/film_film_distributor_relationship/region,head,M-1,157,5.062595033026967,10,10,3,0.10000000149011612,1.0,0.3333333333333333
148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,head,M-N,535,6.284134161070802,60,60,60,0.9976190498897007,0.01666666753590107,0.016666666666666666
149,/medicine/disease/notable_people_with_this_condition,head,1-N,121,4.804021044733257,15,15,13,0.7142857313156128,0.3076923191547394,0.23076923076923078
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,head,M-N,345,5.846438775057724,38,38,27,0.612781958920615,0.29629629850387573,0.1111111111111111
