relation_id,relation_name,train_support,directional_inverse_strength,directional_best_inverse_partner_id,directional_best_inverse_partner_name,directional_best_inverse_overlap_count,directional_best_reverse_directional_score,directional_best_overlap_jaccard,mutual_inverse_strength,mutual_best_inverse_partner_id,mutual_best_inverse_partner_name,mutual_best_inverse_overlap_count,mutual_best_directional_score,mutual_best_reverse_directional_score,mutual_best_overlap_jaccard,second_best_mutual_inverse_strength,second_best_mutual_partner_id,second_best_mutual_partner_name,inverse_clarity
0,/location/country/form_of_government,298,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,0.3498427672955975,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,445,0.0708937390473156,0.06264076576576577,0.11789641012054576,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,445,0.3498427672955975,0.0708937390473156,0.06264076576576577,0.045023696682464455,145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,0.0728727134380813
2,/media_common/netflix_genre/titles,2671,0.48408835642081616,31,/film/film/genre,1293,0.1779031370390754,0.14954892435808467,0.26018714156353756,31,/film/film/genre,1293,0.48408835642081616,0.1779031370390754,0.14954892435808467,0.06183536825521859,28,/film/film/country,0.19835177330831896
3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,0.7446278048201354,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,6272,0.3922696854087185,0.34575523704520394,0.5138456496804851,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,6272,0.7446278048201354,0.3922696854087185,0.34575523704520394,0.02214616468693376,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.4916994849935513
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,0.8081343943412909,130,/sports/sports_position/players./sports/sports_team_roster/team,1828,0.5222857142857142,0.4646670055922725,0.6345019090593543,130,/sports/sports_position/players./sports/sports_team_roster/team,1828,0.8081343943412909,0.5222857142857142,0.4646670055922725,0.0,,,0.6345019090593543
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,0.8141280353200883,130,/sports/sports_position/players./sports/sports_team_roster/team,1844,0.5268571428571428,0.47028819178780923,0.6397224631396357,130,/sports/sports_position/players./sports/sports_team_roster/team,1844,0.8141280353200883,0.5268571428571428,0.47028819178780923,0.0,,,0.6397224631396357
6,/film/actor/film./film/performance/film,9494,0.1014324836738993,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,963,0.32185828877005346,0.08357198646185889,0.15425276309466604,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,963,0.1014324836738993,0.32185828877005346,0.08357198646185889,0.028596440035016053,109,/film/film/written_by,0.12565632305965
7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,0.23423137876386688,30,/award/award_winning_work/awards_won./award/award_honor/award,2217,0.6697885196374622,0.20998295131653721,0.3470841487279844,30,/award/award_winning_work/awards_won./award/award_honor/award,2217,0.23423137876386688,0.6697885196374622,0.20998295131653721,0.0007399870502266211,19,/award/award_nominee/award_nominations./award/award_nomination/award,0.3463441616777578
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,0.3922696854087185,3,/award/award_winner/awards_won./award/award_honor/award_winner,6272,0.7446278048201354,0.34575523704520394,0.5138456496804851,3,/award/award_winner/awards_won./award/award_honor/award_winner,6272,0.3922696854087185,0.7446278048201354,0.34575523704520394,0.01862857142857143,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.49521707825191363
9,/music/performance_role/regular_performances./music/group_membership/role,2655,0.44708097928436913,75,/music/performance_role/track_performances./music/track_contribution/role,1187,0.31277997364953886,0.2255367661029831,0.36806201550387596,75,/music/performance_role/track_performances./music/track_contribution/role,1187,0.44708097928436913,0.31277997364953886,0.2255367661029831,0.1560913705583756,57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,0.21197064494550036
10,/award/award_category/winners./award/award_honor/ceremony,2834,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,0.7754010695187166,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,2320,0.3696033136848813,0.33386098719240176,0.5005933757686913,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,2320,0.7754010695187166,0.3696033136848813,0.33386098719240176,0.15425276309466604,6,/film/actor/film./film/performance/film,0.34634061267402527
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,0.003335143100907469,2,/media_common/netflix_genre/titles,43,0.016098839385997755,0.002770440048965917,0.0055255718324338215,2,/media_common/netflix_genre/titles,43,0.003335143100907469,0.016098839385997755,0.002770440048965917,0.00014819205690574984,59,/film/film_subject/films,0.005377379775528071
14,/film/film/language,2570,0.01906614785992218,2,/media_common/netflix_genre/titles,49,0.018345189067764882,0.009437596302003082,0.01869872161801183,2,/media_common/netflix_genre/titles,49,0.01906614785992218,0.018345189067764882,0.009437596302003082,0.0,,,0.01869872161801183
15,/location/location/contains,5201,0.0886368006152663,133,/base/biblioness/bibs_location/country,461,0.7557377049180328,0.08616822429906543,0.15866460161762175,133,/base/biblioness/bibs_location/country,461,0.0886368006152663,0.7557377049180328,0.08616822429906543,0.12214532871972317,62,/base/aareas/schema/administrative_area/administrative_parent,0.03651927289789858
16,/organization/organization/headquarters./location/mailing_address/country,182,0.5659340659340659,15,/location/location/contains,103,0.01980388386848683,0.01950757575757576,0.03826862344417611,15,/location/location/contains,103,0.5659340659340659,0.01980388386848683,0.01950757575757576,0.0,,,0.03826862344417611
17,/people/person/profession,10945,0.0001827318410232983,20,/music/genre/artists,2,0.0003401360544217687,0.00011888486001307734,0.0003624830086089714,211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,2,0.0001827318410232983,0.022222222222222223,0.00018127435874195594,0.00023774145616641898,20,/music/genre/artists,0.00012474155244255244
18,/location/statistical_region/religions./location/religion_percentage/religion,596,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,0.31932220120095417,47,/award/award_category/winners./award/award_honor/award_winner,3882,0.6842940243257536,0.27831947232578147,0.4354458777341559,47,/award/award_category/winners./award/award_honor/award_winner,3882,0.31932220120095417,0.6842940243257536,0.27831947232578147,0.0007399870502266211,7,/award/award_category/nominees./award/award_nomination/nominated_for,0.4347058906839293
20,/music/genre/artists,5880,0.0003401360544217687,17,/people/person/profession,2,0.0001827318410232983,0.00011888486001307734,0.0003049710277523635,52,/music/genre/parent_genre,1,0.00017006802721088434,0.0014749262536873156,0.00015250876925423213,0.00026136957658128593,41,/music/artist/track_contributions./music/track_contribution/role,4.3601451171077594e-05
21,/influence/influence_node/influenced_by,1908,0.013626834381551363,196,/influence/influence_node/peers./influence/peer_relationship/peers,26,0.1566265060240964,0.0126953125,0.025072324011571844,196,/influence/influence_node/peers./influence/peer_relationship/peers,26,0.013626834381551363,0.1566265060240964,0.0126953125,0.005264697279906405,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.01980762673166544
22,/education/educational_institution/students_graduates./education/education/student,2640,0.006818181818181818,159,/people/person/employment_history./business/employment_tenure/company,18,0.056962025316455694,0.006126616746085773,0.012178619756427604,159,/people/person/employment_history./business/employment_tenure/company,18,0.006818181818181818,0.056962025316455694,0.006126616746085773,0.0007202016564638099,226,/organization/organization_founder/organizations_founded,0.011458418099963794
23,/organization/organization_member/member_of./organization/organization_membership/organization,797,0.050188205771643665,168,/user/ktrueman/default_domain/international_organization/member_states,40,0.22346368715083798,0.042735042735042736,0.0819672131147541,168,/user/ktrueman/default_domain/international_organization/member_states,40,0.050188205771643665,0.22346368715083798,0.042735042735042736,0.0022123893805309734,165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,0.07975482373422313
24,/people/person/place_of_birth,2465,0.00040567951318458417,21,/influence/influence_node/influenced_by,1,0.0005241090146750524,0.00022872827081427266,0.0007107320540156361,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,1,0.00040567951318458417,0.0028653295128939827,0.00035549235691432633,0.000457351932311914,21,/influence/influence_node/influenced_by,0.00025338012170372207
25,/common/topic/webpage./common/webpage/category,3612,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
28,/film/film/country,2407,0.06522642293311176,2,/media_common/netflix_genre/titles,157,0.058779483339573196,0.031904084535663485,0.06183536825521859,2,/media_common/netflix_genre/titles,157,0.06522642293311176,0.058779483339573196,0.031904084535663485,0.00132890365448505,59,/film/film_subject/films,0.06050646460073354
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
30,/award/award_winning_work/awards_won./award/award_honor/award,3310,0.6697885196374622,7,/award/award_category/nominees./award/award_nomination/nominated_for,2217,0.23423137876386688,0.20998295131653721,0.3470841487279844,7,/award/award_category/nominees./award/award_nomination/nominated_for,2217,0.6697885196374622,0.23423137876386688,0.20998295131653721,0.00022264276967605477,47,/award/award_category/winners./award/award_honor/award_winner,0.34686150595830834
31,/film/film/genre,7268,0.1779031370390754,2,/media_common/netflix_genre/titles,1293,0.48408835642081616,0.14954892435808467,0.26018714156353756,2,/media_common/netflix_genre/titles,1293,0.1779031370390754,0.48408835642081616,0.14954892435808467,0.003557362469825943,59,/film/film_subject/films,0.2566297790937116
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337,0.3080872913992298,86,/film/film/production_companies,720,0.45918367346938777,0.2260596546310832,0.36875800256081953,86,/film/film/production_companies,720,0.3080872913992298,0.45918367346938777,0.2260596546310832,0.023268905986113718,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,0.34548909657470583
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
35,/government/legislative_session/members./government/government_position_held/district_represented,1070,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622,0.8167202572347267,130,/sports/sports_position/players./sports/sports_team_roster/team,508,0.14514285714285713,0.1405644714997233,0.2464822901504124,130,/sports/sports_position/players./sports/sports_team_roster/team,508,0.8167202572347267,0.14514285714285713,0.1405644714997233,0.0058997050147492625,44,/business/job_title/people_with_this_title./business/employment_tenure/company,0.24058258513566314
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277,0.3696033136848813,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2320,0.7754010695187166,0.33386098719240176,0.5005933757686913,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2320,0.3696033136848813,0.7754010695187166,0.33386098719240176,0.1314467072203121,84,/film/film/produced_by,0.36914666854837924
39,/people/deceased_person/place_of_death,695,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,676,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
41,/music/artist/track_contributions./music/track_contribution/role,1772,0.2742663656884876,42,/music/instrument/instrumentalists,486,0.25077399380804954,0.15074441687344914,0.2619946091644205,42,/music/instrument/instrumentalists,486,0.2742663656884876,0.25077399380804954,0.15074441687344914,0.002581477896095515,92,/music/performance_role/regular_performances./music/group_membership/group,0.259413131268325
42,/music/instrument/instrumentalists,1938,0.25077399380804954,41,/music/artist/track_contributions./music/track_contribution/role,486,0.2742663656884876,0.15074441687344914,0.2619946091644205,41,/music/artist/track_contributions./music/track_contribution/role,486,0.25077399380804954,0.2742663656884876,0.15074441687344914,0.2194940476190476,134,/music/group_member/membership./music/group_membership/role,0.042500561545372934
43,/people/person/gender,3717,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
44,/business/job_title/people_with_this_title./business/employment_tenure/company,734,0.005449591280653951,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,4,0.006430868167202572,0.0029585798816568047,0.00612088752869166,169,/american_football/football_team/current_roster./sports/sports_team_roster/position,4,0.005449591280653951,0.006980802792321117,0.0030698388334612432,0.0058997050147492625,36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,0.00022118251394239764
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1511,0.10787557908669755,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,163,0.010194508724748265,0.009401857299417431,0.09880749574105623,119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,87,0.05757776307081403,0.348,0.05197132616487455,0.05831903945111492,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,0.040488456289941306
46,/business/business_operation/industry,330,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
47,/award/award_category/winners./award/award_honor/award_winner,5673,0.6842940243257536,19,/award/award_nominee/award_nominations./award/award_nomination/award,3882,0.31932220120095417,0.27831947232578147,0.4354458777341559,19,/award/award_nominee/award_nominations./award/award_nomination/award,3882,0.6842940243257536,0.31932220120095417,0.27831947232578147,0.00022264276967605477,30,/award/award_winning_work/awards_won./award/award_honor/award,0.43522323496447984
48,/people/person/nationality,4197,0.0004765308553728854,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,2,0.0057306590257879654,0.00044014084507042255,0.0008798944126704796,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,2,0.0004765308553728854,0.0057306590257879654,0.00044014084507042255,0.0,,,0.0008798944126704796
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,183,0.8032786885245902,130,/sports/sports_position/players./sports/sports_team_roster/team,147,0.042,0.04157239819004525,0.07982622861797448,130,/sports/sports_position/players./sports/sports_team_roster/team,147,0.8032786885245902,0.042,0.04157239819004525,0.0,,,0.07982622861797448
50,/people/cause_of_death/people,737,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
51,/tv/tv_program/languages,254,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
52,/music/genre/parent_genre,678,0.0014749262536873156,20,/music/genre/artists,1,0.00017006802721088434,0.00015250876925423213,0.0003049710277523635,20,/music/genre/artists,1,0.0014749262536873156,0.00017006802721088434,0.00015250876925423213,0.0,,,0.0003049710277523635
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,153,0.7320261437908496,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,112,0.07977207977207977,0.07750865051903114,0.14395886889460155,164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,28,0.1830065359477124,0.11864406779661017,0.07756232686980609,0.1438664097623635,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,9.245913223804303e-05
54,/location/country/capital,142,0.4014084507042254,133,/base/biblioness/bibs_location/country,57,0.09344262295081968,0.08201438848920864,0.15159574468085107,133,/base/biblioness/bibs_location/country,57,0.4014084507042254,0.09344262295081968,0.08201438848920864,0.10606060606060605,135,/location/administrative_division/country,0.045535138620245025
55,/film/special_film_performance_type/film_performance_type./film/performance/film,93,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
56,/location/hud_county_place/place,459,0.02832244008714597,111,/location/hud_county_place/county,13,0.04262295081967213,0.017310252996005325,0.034374999999999996,190,/location/us_county/county_seat,11,0.023965141612200435,0.06077348066298342,0.017488076311605722,0.034031413612565446,111,/location/hud_county_place/county,0.0003435863874345496
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,497,0.5975855130784709,75,/music/performance_role/track_performances./music/track_contribution/role,297,0.0782608695652174,0.07434292866082604,0.1560913705583756,9,/music/performance_role/regular_performances./music/group_membership/role,246,0.4949698189134809,0.09265536723163842,0.08465244322092223,0.13839701770736254,75,/music/performance_role/track_performances./music/track_contribution/role,0.017694352851013062
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,2051,0.017064846416382253,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,35,0.04685408299866131,0.012667390517553384,0.02501786990707648,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,35,0.017064846416382253,0.04685408299866131,0.012667390517553384,0.017094017094017096,218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,0.007923852813059386
59,/film/film_subject/films,603,0.02321724709784411,31,/film/film/genre,14,0.001926252063841497,0.0017818505791014382,0.0037974683544303796,106,/film/film/featured_film_locations,3,0.004975124378109453,0.0030706243602865915,0.0019023462270133164,0.003557362469825943,31,/film/film/genre,0.00024010588460443658
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,475,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
61,/education/educational_institution/colors,856,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
62,/base/aareas/schema/administrative_area/administrative_parent,579,0.6096718480138169,15,/location/location/contains,353,0.06787156316093058,0.06504514464713469,0.12214532871972317,15,/location/location/contains,353,0.6096718480138169,0.06787156316093058,0.06504514464713469,0.061452513966480445,144,/base/aareas/schema/administrative_area/capital,0.06069281475324272
63,/organization/role/leaders./organization/leadership/organization,756,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,814,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
65,/olympics/olympic_games/sports,664,0.39457831325301207,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,262,0.6876640419947506,0.334610472541507,0.5014354066985646,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,262,0.39457831325301207,0.6876640419947506,0.334610472541507,0.0,,,0.5014354066985646
66,/people/person/places_lived./people/place_lived/location,3738,0.002140181915462814,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,8,0.022922636103151862,0.001961265015935278,0.003914851969659897,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,8,0.002140181915462814,0.022922636103151862,0.001961265015935278,0.00031357792411414236,22,/education/educational_institution/students_graduates./education/education/student,0.003601274045545755
67,/award/award_category/disciplines_or_subjects,204,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,688,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,1153,0.18300086730268864,157,/olympics/olympic_games/participating_countries,211,0.4306122448979592,0.1473463687150838,0.2568472306755934,157,/olympics/olympic_games/participating_countries,211,0.18300086730268864,0.4306122448979592,0.1473463687150838,0.0013192612137203166,163,/time/event/locations,0.25552796946187306
70,/language/human_language/countries_spoken_in,335,0.39104477611940297,221,/location/country/official_language,131,0.5822222222222222,0.30536130536130535,0.46785714285714286,221,/location/country/official_language,131,0.39104477611940297,0.5822222222222222,0.30536130536130535,0.0,,,0.46785714285714286
71,/people/ethnicity/people,2063,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,760,0.24210526315789474,157,/olympics/olympic_games/participating_countries,184,0.37551020408163266,0.1726078799249531,0.2944,157,/olympics/olympic_games/participating_countries,184,0.24210526315789474,0.37551020408163266,0.1726078799249531,0.0,,,0.2944
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,256,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,0.0
