relation_id,relation_name,train_frequency,log_train_frequency
0,/location/country/form_of_government,298,5.700443573390686
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,7.149131598557407
2,/media_common/netflix_genre/titles,2671,7.890582534656536
3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,9.03884005381381
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,7.724446645633537
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,7.725771441587952
6,/film/actor/film./film/performance/film,9494,9.158520623246385
7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,9.155461710466193
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,9.679718805828
9,/music/performance_role/regular_performances./music/group_membership/role,2655,7.884576510596324
10,/award/award_category/winners./award/award_honor/ceremony,2834,7.949797216161852
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,7.265429723253953
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,8.004031507852698
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,9.464517365870565
14,/film/film/language,2570,7.852050207265889
15,/location/location/contains,5201,8.556798446008596
16,/organization/organization/headquarters./location/mailing_address/country,182,5.209486152841421
17,/people/person/profession,10945,9.300729371703863
18,/location/statistical_region/religions./location/religion_percentage/religion,596,6.391917113392602
19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,9.405742668308667
20,/music/genre/artists,5880,8.679482094459956
21,/influence/influence_node/influenced_by,1908,7.554334823725748
22,/education/educational_institution/students_graduates./education/education/student,2640,7.878912912297132
23,/organization/organization_member/member_of./organization/organization_membership/organization,797,6.682108597449809
24,/people/person/place_of_birth,2465,7.81035268372429
25,/common/topic/webpage./common/webpage/category,3612,8.19229373114764
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,8.576593534697684
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,7.911324018963352
28,/film/film/country,2407,7.786551806428712
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,7.664346632098617
30,/award/award_winning_work/awards_won./award/award_honor/award,3310,8.105005537547246
31,/film/film/genre,7268,8.891374009484636
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337,7.757051142032013
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373,5.924255797414532
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210,7.099201743553092
35,/government/legislative_session/members./government/government_position_held/district_represented,1070,6.976348070447749
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622,6.434546518787453
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760,6.634633357861686
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277,8.744806737401898
39,/people/deceased_person/place_of_death,695,6.54534966033442
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,676,6.517671272912275
41,/music/artist/track_contributions./music/track_contribution/role,1772,7.480428306074208
42,/music/instrument/instrumentalists,1938,7.569927655242652
43,/people/person/gender,3717,8.220941168281389
44,/business/job_title/people_with_this_title./business/employment_tenure/company,734,6.5998704992128365
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,1511,7.321188556739479
46,/business/business_operation/industry,330,5.802118375377063
47,/award/award_category/winners./award/award_honor/award_winner,5673,8.643649615368796
48,/people/person/nationality,4197,8.342363500380579
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,183,5.214935757608986
50,/people/cause_of_death/people,737,6.6039438246004725
51,/tv/tv_program/languages,254,5.541263545158426
52,/music/genre/parent_genre,678,6.520621127558696
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,153,5.0369526024136295
54,/location/country/capital,142,4.962844630259907
55,/film/special_film_performance_type/film_performance_type./film/performance/film,93,4.543294782270004
56,/location/hud_county_place/place,459,6.131226489483141
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,497,6.210600077024653
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,2051,7.62657020629066
59,/film/film_subject/films,603,6.403574197934815
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,475,6.16541785423142
61,/education/educational_institution/colors,856,6.75343791859778
62,/base/aareas/schema/administrative_area/administrative_parent,579,6.363028103540465
63,/organization/role/leaders./organization/leadership/organization,756,6.6293632534374485
64,/government/legislative_session/members./government/government_position_held/legislative_sessions,814,6.703188113240863
65,/olympics/olympic_games/sports,664,6.499787040655854
66,/people/person/places_lived./people/place_lived/location,3738,8.226573474977114
67,/award/award_category/disciplines_or_subjects,204,5.3230099791384085
68,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,688,6.535241271013659
69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,1153,7.050989447068045
70,/language/human_language/countries_spoken_in,335,5.817111159963204
71,/people/ethnicity/people,2063,7.6324011266014535
72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,760,6.634633357861686
73,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,256,5.54907608489522
74,/film/film/other_crew./film/film_crew_gig/crewmember,384,5.953243334287785
75,/music/performance_role/track_performances./music/track_contribution/role,3795,8.241703159729818
76,/music/record_label/artist,2226,7.708410667257367
77,/base/popstra/celebrity/dated./base/popstra/dated/participant,1404,7.247792581767846
78,/base/locations/continents/countries_within,125,4.836281906951478
79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,269,5.598421958998375
80,/sports/sports_team/sport,423,6.049733455231958
81,/education/educational_institution_campus/educational_institution,526,6.267200548541362
82,/people/person/religion,1085,6.990256500493881
83,/organization/organization/headquarters./location/mailing_address/citytown,852,6.748759547491679
84,/film/film/produced_by,1285,7.1592919047975645
85,/people/person/spouse_s./people/marriage/type_of_union,2909,7.975908360165538
86,/film/film/production_companies,1568,7.358193752733032
87,/location/country/second_level_divisions,463,6.139884552226255
88,/base/culturalevent/event/entity_involved,276,5.6240175061873385
89,/education/educational_degree/people_with_this_degree./education/education/institution,2257,7.722234744709607
90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,285,5.655991810819852
91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,121,4.804021044733257
92,/music/performance_role/regular_performances./music/group_membership/group,1327,7.191429330036379
93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,215,5.375278407684165
94,/sports/sports_team_location/teams,331,5.805134968916488
95,/sports/sports_team/colors,689,6.536691597591305
96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,437,6.082218910376446
97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,717,6.576469569048224
98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,233,5.455321115357702
99,/user/alexander/philosophy/philosopher/interests,100,4.61512051684126
100,/people/person/languages,783,6.664409020350408
101,/education/educational_institution/students_graduates./education/education/major_field_of_study,2622,7.872073979866873
102,/film/director/film,859,6.756932389247553
103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,909,6.813444599510896
104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,381,5.945420608606575
105,/film/film/costume_design_by,192,5.262690188904886
106,/film/film/featured_film_locations,977,6.885509670034818
107,/tv/tv_program/genre,1006,6.914730892718563
108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,456,6.124683390894205
109,/film/film/written_by,787,6.669498089857879
110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,225,5.420534999272286
111,/location/hud_county_place/county,305,5.723585101952381
112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,494,6.20455776256869
113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,142,4.962844630259907
114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,100,4.61512051684126
115,/film/film/film_format,345,5.846438775057724
116,/film/film/music,1039,6.946975992135418
117,/sports/sports_team/roster./american_football/football_roster_position/position,607,6.410174881966167
118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,411,6.021023349349527
119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,250,5.5254529391317835
120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,788,6.670766320845874
121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,246,5.5093883366279774
122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,349,5.857933154483459
123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,449,6.1092475827643655
124,/education/educational_institution/school_type,728,6.591673732008658
125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,128,4.859812404361672
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,154,5.043425116919247
127,/base/biblioness/bibs_location/state,300,5.707110264748875
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,360,5.8888779583328805
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,215,5.375278407684165
130,/sports/sports_position/players./sports/sports_team_roster/team,3500,8.160803920954665
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,424,6.052089168924417
132,/sports/sports_league/teams./sports/sports_league_participation/team,161,5.087596335232384
133,/base/biblioness/bibs_location/country,610,6.415096959171596
134,/music/group_member/membership./music/group_membership/role,750,6.621405651764134
135,/location/administrative_division/country,386,5.958424693029782
136,/film/film/executive_produced_by,662,6.4967749901858625
137,/food/food/nutrients./food/nutrition_fact/nutrient,966,6.874198495453294
138,/music/group_member/membership./music/group_membership/group,218,5.389071729816501
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,190,5.25227342804663
140,/education/field_of_study/students_majoring./education/education/student,259,5.560681631015528
141,/award/award_winning_work/awards_won./award/award_honor/honored_for,475,6.16541785423142
142,/sports/sports_team/roster./basketball/basketball_roster_position/position,178,5.187385805840755
143,/organization/organization/headquarters./location/mailing_address/state_province_region,721,6.582025138892826
144,/base/aareas/schema/administrative_area/capital,137,4.927253685157205
145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,416,6.0330862217988015
146,/education/educational_institution/campuses,533,6.280395838960195
147,/film/film/distributors./film/film_film_distributor_relationship/region,157,5.062595033026967
148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,535,6.284134161070802
149,/medicine/disease/notable_people_with_this_condition,121,4.804021044733257
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,345,5.846438775057724
151,/people/ethnicity/geographic_distribution,122,4.812184355372417
152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,747,6.617402977974478
153,/film/film/personal_appearances./film/personal_film_appearance/person,217,5.384495062789089
154,/location/location/time_zones,1151,7.049254841255837
155,/film/film/story_by,394,5.978885764901122
156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,192,5.262690188904886
157,/olympics/olympic_games/participating_countries,490,6.19644412779452
158,/tv/tv_network/programs./tv/tv_network_duration/program,305,5.723585101952381
159,/people/person/employment_history./business/employment_tenure/company,316,5.75890177387728
160,/music/artist/origin,552,6.315358001522335
161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,417,6.035481432524756
162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,271,5.605802066295998
163,/time/event/locations,363,5.8971538676367405
164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,236,5.4680601411351315
165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,107,4.68213122712422
166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,476,6.1675164908883415
167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,125,4.836281906951478
168,/user/ktrueman/default_domain/international_organization/member_states,179,5.19295685089021
169,/american_football/football_team/current_roster./sports/sports_team_roster/position,573,6.352629396319567
170,/soccer/football_player/current_team./sports/sports_team_roster/team,536,6.285998094508865
171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,101,4.624972813284271
172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,335,5.817111159963204
173,/film/film_set_designer/film_sets_designed,113,4.736198448394496
174,/user/jg/default_domain/olympic_games/sports,581,6.366470447731438
175,/people/person/sibling_s./people/sibling_relationship/sibling,131,4.882801922586371
176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,352,5.8664680569332965
177,/music/artist/contribution./music/recording_contribution/performance_role,218,5.389071729816501
178,/sports/sports_position/players./sports/sports_team_roster/position,125,4.836281906951478
179,/government/politician/government_positions_held./government/government_position_held/basic_title,114,4.74493212836325
180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,102,4.634728988229636
181,/people/profession/specialization_of,102,4.634728988229636
182,/award/award_category/category_of,148,5.003946305945459
183,/film/film/cinematography,336,5.820082930352362
184,/film/film/film_production_design_by,158,5.0689042022202315
185,/tv/tv_program/country_of_origin,268,5.594711379601839
186,/film/film/edited_by,179,5.19295685089021
187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,103,4.6443908991413725
188,/education/field_of_study/students_majoring./education/education/major_field_of_study,343,5.840641657373398
189,/education/educational_degree/people_with_this_degree./education/education/student,260,5.564520407322694
190,/location/us_county/county_seat,181,5.204006687076795
191,/film/film/film_festivals,264,5.579729825986222
192,/people/person/spouse_s./people/marriage/spouse,427,6.059123195581797
193,/film/film/runtime./film/film_cut/film_release_region,187,5.236441962829949
194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,296,5.6937321388027
195,/base/aareas/schema/administrative_area/administrative_area_type,156,5.056245805348308
196,/influence/influence_node/peers./influence/peer_relationship/peers,166,5.117993812416755
197,/government/governmental_body/members./government/government_position_held/legislative_sessions,101,4.624972813284271
198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,208,5.342334251964811
199,/organization/organization/place_founded,104,4.653960350157523
200,/base/eating/practicer_of_diet/diet,137,4.927253685157205
201,/tv/tv_program/program_creator,144,4.976733742420574
202,/people/deceased_person/place_of_burial,142,4.962844630259907
203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,246,5.5093883366279774
204,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,121,4.804021044733257
205,/location/administrative_division/first_level_division_of,141,4.955827057601261
206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,160,5.081404364984463
207,/organization/organization/child./organization/organization_relationship/child,191,5.2574953720277815
208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,181,5.204006687076795
209,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,37,3.6375861597263857
210,/time/event/instance_of_recurring_event,109,4.700480365792417
211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,90,4.51085950651685
212,/film/actor/film./film/performance/special_performance_type,180,5.198497031265826
213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,198,5.293304824724492
214,/people/ethnicity/languages_spoken,192,5.262690188904886
215,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,121,4.804021044733257
216,/medicine/symptom/symptom_of,154,5.043425116919247
217,/education/university/fraternities_and_sororities,131,4.882801922586371
218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,172,5.153291594497779
219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,220,5.3981627015177525
220,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,146,4.990432586778736
221,/location/country/official_language,225,5.420534999272286
222,/location/location/partially_contains,133,4.897839799950911
223,/film/film/film_art_direction_by,101,4.624972813284271
224,/people/person/spouse_s./people/marriage/location_of_ceremony,251,5.529429087511423
225,/education/university/international_tuition./measurement_unit/dated_money_value/currency,117,4.770684624465665
226,/organization/organization_founder/organizations_founded,137,4.927253685157205
227,/film/film/dubbing_performances./film/dubbing_performance/actor,114,4.74493212836325
228,/dataworld/gardening_hint/split_to,99,4.605170185988092
229,/medicine/disease/risk_factors,162,5.093750200806762
230,/film/film/prequel,180,5.198497031265826
231,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,108,4.6913478822291435
232,/film/actor/dubbing_performances./film/dubbing_performance/language,112,4.727387818712341
233,/broadcast/content/artist,102,4.634728988229636
234,/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,149,5.0106352940962555
235,/music/instrument/family,100,4.61512051684126
236,/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,106,4.672828834461906
